큐딜리온 퍼블리싱리스트,,,,,,,,,,
,,,,,,,,,,
No,Dep1,Dep2,Dep3,Dep4,폴더경로,파일이름,진행상태,시작일,종료일,진척률
87,"회원스토어 (잔여작업,탈퇴회원관리)",회원/스토어 통합관리,최근 수정 관리자 팝업,,,member_manager_popup.html,완료,2018-04-28,2018-05-10,100%
88,"회원스토어 (잔여작업,탈퇴회원관리)",회원/스토어 통합관리,캐시조회 팝업,,, - , - , - , - ,
89,"회원스토어 (잔여작업,탈퇴회원관리)",회원/스토어 통합관리,택배이용 팝업,,,member_ps_popup.html,완료,2018-04-28,2018-05-10,100%
90,"회원/스토어 (잔여작업, 탈퇴회원 관리)",회원/스토어 통합관리,용달이용 팝업,,, - , - , - , - ,
91,"회원/스토어 (잔여작업, 탈퇴회원 관리)",회원/스토어 통합관리,팔로워/팔로잉 팝업,,,member_follower_popup.html,완료,2018-04-28,2018-05-10,100%
92,"회원/스토어 (잔여작업, 탈퇴회원 관리)",회원/스토어 통합관리,스토어공유 리스트 팝업,,,member_store_popup.html,완료,2018-04-28,2018-05-10,100%
93,운영,1:1문의,신규문의 리스트,,,operation01_list.php,완료,2018-05-14,2018-05-14,100%
94,운영,화면가이드 팝업,,,,operation01_popup.html,완료,2018-05-14,2018-05-14,100%
95,운영,첨부이미지 모아보기 팝업,,,,img_popup.html,완료,2018-04-18,2018-04-18,100%
96,운영,1:1문의,문의 답변관리/등록 팝업,,,operation01_popup02.html,완료,2018-05-14,2018-05-14,100%
97,운영,1:1문의,재문의 리스트,,,operation02_list.php,완료,2018-05-14,2018-05-14,100%
98,운영,1:1문의,문의/재문의 내역 팝업,,,operation02_popup.html,완료,2018-05-14,2018-05-14,100%
99,운영,1:1문의,불편사항 및 개선사항 리스트,,,operation03_list.php,완료,2018-05-14,2018-05-14,100%
100,운영,1:1문의,상품신고 이의신청 리스트,,,operation04_list.php,완료,2018-05-14,2018-05-14,100%
101,운영,1:1문의,상품신고 이의제기 답변관리/등록 팝업,,,operation04_popup.html,완료,2018-05-14,2018-05-15,100%
102,운영,1:1문의,자동답변문의 리스트,(자동답변내역 미리보기 마우스오버 포함),,operation05_list.php,완료,2018-05-14,2018-05-15,100%
103,운영,1:1문의,자동답변관리 팝업,,,operation05_popup.html,완료,2018-05-14,2018-05-15,100%
104,운영,1:1문의,자동답변내역 상세보기 팝업, ,,operation05_popup02.html,완료,2018-05-14,2018-05-15,100%
105,운영,신고관리,리스트, (신고내역 미리보기 마우스오버 포함),,operation06_list.php,완료,2018-05-14,2018-05-15,100%
106,운영,신고관리,자동화 처리 관리 팝업, ,,operation06_popup01.html,완료,2018-05-15,2018-05-16,100%
